date;aircraft;crew;departure;arrival;landings;flighttime;pic time;dual time;remarks
2013-12-05;OEAKI;A211;SCHIMMELBACH FI;LOAV;13:41;LOAU;14:30;2;00:49;00:00;00:49;Landfee:13
2013-11-12;OECFF;C152;;LOAS;11:56;LOAV;12:36;1;00:40;00:40;00:00;
2013-11-12;OECFF;C152;;LOAV;10:34;LOAS;11:12;1;00:38;00:38;00:00;Landfee:10
2013-11-07;OEAGT;DV20;;LOAV;12:16;LOAV;13:22;1;01:06;01:06;00:00;PAX:Allison
2013-10-21;OECFF;C152;;LHFM;14:00;LOAV;14:34;1;00:34;00:34;00:00;
2013-10-21;OECFF;C152;;LHFM;13:35;LHFM;14:00;5;00:25;00:25;00:00;Landfee:30
2013-10-21;OECFF;C152;;LOAV;12:26;LHFM;13:05;1;00:39;00:39;00:00;
2013-09-15;OEKYV;C172;;LOAV;09:02;LOAV;10:21;1;01:19;01:19;00:00;PAX: Renate, Kerstin, Sebastian
2013-09-01;OEKYV;C172;;LOAV;15:46;LOAV;17:04;1;01:18;01:18;00:00;PAX: Martin Pfleger
2013-08-21;OEKAS;DA40;ROSDOL FI;LOAV;15:59;LOAV;17:00;3;01:01;00:00;01:01;Einweisung DA40
2013-08-16;OEAGT;DV20;;LOAV;07:23;LOAV;08:01;4;00:38;00:38;00:00;
2013-08-07;OEAGT;DV20;;LOAG;09:34;LOAV;10:12;1;00:38;00:38;00:00;
2013-08-07;OEAGT;DV20;;LOAV;07:58;LOAG;08:56;1;00:58;00:58;00:00;Landfee:11, LO-R-15
2013-08-03;OECFF;C152;;LHFM;08:45;LOAV;09:19;1;00:34;00:34;00:00;Problems with right brake
2013-08-03;OECFF;C152;;LOAV;07:20;LHFM;08:05;3;00:45;00:45;00:00;Landfee:20
2013-07-31;OECFF;C152;;LOAV;08:12;LOAV;09:50;1;01:38;01:38;00:00;
2013-07-14;OECFF;C152;;LOGK;09:38;LOAV;10:29;1;00:51;00:51;00:00;
2013-07-14;OECFF;C152;;LOAV;07:03;LOGK;07:52;1;00:49;00:49;00:00;Landfee:10
2013-07-13;OECFF;C152;;LOGM;08:50;LOAV;09:37;1;00:47;00:47;00:00;
2013-07-13;OECFF;C152;;LOAV;07:31;LOGM;08:13;1;00:42;00:42;00:00;Landfee:12
2013-07-10;OEAGT;DV20;;LHFM;09:25;LOAV;10:05;1;00:40;00:40;00:00;
2013-07-10;OEAGT;DV20;;LOAV;07:55;LHFM;08:31;1;00:36;00:36;00:00;Landfee:10
2013-06-23;OEAGT;DV20;;LOAV;09:58;LOAV;10:55;1;00:57;00:57;00:00;PAX:Georg Stoifl
2013-06-19;OEAGT;DV20;;LOGO;10:33;LOAV;12:17;1;01:44;01:44;00:00;PAX:Christof Bader
